음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
꽃게떡미역국,51.0,,0.7,1.0,,9.7,0.0,,,,,,389.0,,,,,,,,,5.0,0.1,0.0,,3.0,,,2.0,1471000.0,1
꽃게탕,26.0,95.5,2.56,0.5866666666666667,0.81,2.47,0.65,0.8,23.0,0.44,25.0,99.0,274.0,1.0,0.0,14.0,0.055,0.045,5.883,4.56,0.0,3.8033333333333332,0.07,0.0,,3.0,,,1.6666666666666667,1471000.0,3
꽃게튀김범벅,346.0,,7.8,30.4,,8.0,1.2,,,,,,326.0,,,,,,,,,13.0,4.6,0.42,,3.0,,,2.0,1471000.0,1
꽃게해물탕,90.0,,9.0,7.0,,1.0,1.0,,,,,,6.0,,,,,,,,,1.0,6.0,0.0,,3.0,,,2.0,1471000.0,1
꽃맛살메추리알샐러드,58.0,,3.56,2.44,,5.49,1.66,,,,,,197.0,,,,,,,,,42.18,0.62,0.01,,3.0,,,2.0,1471000.0,1
꽃맛살샐러드,142.33333333333334,,4.32,9.286666666666667,,10.883333333333333,5.041666666666667,,,,,,522.8333333333334,,,,,,,,,12.885,1.3550000000000002,0.018333333333333333,,3.0,,,2.0,1471000.0,6
꽃맛살샐러드샌드위치,183.0,,5.26,8.42,,21.58,4.21,,,,,,268.0,,,,,,,,,5.26,1.63,0.0,,3.0,,,2.0,1471000.0,1
꽃맛살토마토샐러드,73.0,,3.78,1.62,,10.81,1.08,,,,,,173.0,,,,,,,,,5.41,0.16,0.0,,3.0,,,2.0,1471000.0,1
꽃맛살튀김,198.0,,7.15,4.38,,32.59,3.59,,,,,,626.0,,,,,,,,,12.04,1.43,0.11,,3.0,,,2.0,1471000.0,1
꽃빵만두,210.0,,6.0,4.0,,37.0,6.0,,,,,,370.0,,,,,,,,,3.2,1.3,0.0,,3.0,,,2.0,1471000.0,1
꽃지해물김치볶음밥,135.0,,4.0,2.6,,24.0,0.0,,,,,,435.0,,,,,,,,,80.0,0.6,0.0,,3.0,,,2.0,1471000.0,1
꽈리고추가문어조림,145.0,,9.09,6.36,,12.73,4.55,,,,,,636.0,,,,,,,,,0.0,0.82,0.0,,3.0,,,2.0,1471000.0,1
꽈리고추멸치볶음,79.0,,8.03,2.74,,5.59,1.46,,,,,,468.0,,,,,,,,,72.49,0.46,0.0,,3.0,,,2.0,1471000.0,2
꽈리고추무침,82.0,,2.0,2.0,,17.0,6.0,,,,,,173.0,,,,,,,,,0.0,0.5,0.0,,3.0,,,2.0,1471000.0,1
꽈리멸치볶음,173.0,,18.6,10.22,,0.87,0.2,,,,,,2555.0,,,,,,,,,53.0,2.0,2.8,,3.0,,,2.0,1471000.0,1
꽉찬고기왕만두,201.0,,5.83,7.5,,28.33,2.5,,,,,,355.0,,,,,,,,,5.0,2.08,0.0,,3.0,,,2.0,1471000.0,1
꽉찬김치왕만두,200.0,,6.67,6.67,,28.33,3.33,,,,,,370.0,,,,,,,,,4.17,1.67,0.0,,3.0,,,2.0,1471000.0,1
꾸덕치즈너비아니버거,284.0,,13.04,13.04,,28.57,6.83,,,,,,595.0,,,,,,,,,34.16,4.97,0.0,,3.0,,,2.0,1471000.0,2
꾸덕한맥앤치즈버거,305.0,,9.29,16.43,,30.0,7.86,,,,,,757.0,,,,,,,,,28.57,5.71,0.29,,3.0,,,2.0,1471000.0,2
꿀고구마빵,252.0,,4.0,0.4,,57.0,39.0,,,,,,30.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
꿀단호박죽,66.0,,0.4,0.44,,14.8,7.6,,,,,,192.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
꿀떡,228.0,44.2,3.74,1.73,0.88,49.48,0.29,0.8,15.0,0.36,52.0,39.0,275.0,0.0,0.0,0.0,0.01,0.01,0.34,0.0,0.0,0.0,0.3,0.0,,3.0,,,1.0,1471000.0,1
꿀밤죽,99.0,,2.42,2.79,,14.55,6.67,,,,,,121.0,,,,,,,,,3.03,2.36,0.0,,3.0,,,2.0,1471000.0,1
꿀약밥,231.0,,4.29,1.33,,50.95,5.24,1.2,,,,,233.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
꿀호떡버거,288.3333333333333,,7.723333333333334,9.086666666666666,,43.97666666666667,14.753333333333332,,,,,,485.0,,,,,,,,,6.0633333333333335,3.143333333333333,0.056666666666666664,,3.0,,,2.0,1471000.0,3
끝짱각불고기삼각김밥,177.0,,7.27,2.27,,31.82,3.64,,,,,,639.0,,,,,,,,,10.91,0.45,0.0,,3.0,,,2.0,1471000.0,2
끝판까르보나라떡볶이,279.0,,4.71,5.88,,52.35,7.65,,,,,,500.0,,,,,,,,,5.88,2.41,0.0,,3.0,,,2.0,1471000.0,1
끝판떡국,230.0,,4.41,0.57,,51.88,0.98,,,,,,774.0,,,,,,,,,2.02,0.52,0.0,,3.0,,,2.0,1471000.0,1
끝판떡볶이,248.0,,4.38,2.5,,51.88,3.75,,,,,,874.0,,,,,,,,,0.0,0.19,0.0,,3.0,,,2.0,1471000.0,1
끝판바둑알떡강정,223.0,,3.33,0.33,,52.0,4.0,,,,,,267.0,,,,,,,,,2.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
끝판왕컵피자불고기,200.0,,10.32,7.1,,22.58,3.23,,,,,,426.0,,,,,,,,,22.58,3.87,0.0,,3.0,,,2.0,1471000.0,1
끝판카레떡볶이,219.0,,3.75,1.25,,49.38,6.25,,,,,,406.0,,,,,,,,,3.13,0.38,0.0,,3.0,,,2.0,1471000.0,1
끼니엔잠발라야볶음밥,164.0,,4.76,2.38,,30.95,1.43,,,,,,362.0,,,,,,,,,35.71,0.38,0.0,,3.0,,,2.0,1471000.0,1
나눔연잎밥,209.0,,4.53,0.86,,45.83,0.0,,,,,,29.0,,,,,,,,,0.0,0.18,0.0,,3.0,,,2.0,1471000.0,1
나래다움햄야채볶음밥,172.0,,3.67,3.33,,31.67,0.67,,,,,,280.0,,,,,,,,,5.0,1.6,0.0,,3.0,,,2.0,1471000.0,1
나루떡볶이,210.0,,4.36,1.52,,43.18,9.66,,,,,,765.0,,,,,,,,,0.11,0.0,0.0,,3.0,,,2.0,1471000.0,1
나물,99.0,,3.215,4.315,,11.379999999999999,3.8000000000000003,,,,,,765.5,,,,,,,,,16.465,0.6699999999999999,0.0,,3.0,,,2.0,1471000.0,2
나물듬뿍비빔밥,251.0,,4.59,4.32,,48.38,3.51,,,,,,943.0,,,,,,,,,0.0,0.65,0.0,,3.0,,,2.0,1471000.0,1
나물듬뿍비빔밥반찬,135.0,,2.35,7.65,,14.12,6.47,,,,,,753.0,,,,,,,,,0.0,1.24,0.0,,3.0,,,2.0,1471000.0,1
나물로먹어밥,168.0,,6.5,7.0,,19.5,2.5,,,,,,355.0,,,,,,,,,15.0,2.1,0.0,,3.0,,,2.0,1471000.0,1
나물명인이,177.0,,4.04,4.01,,31.27,0.625,,,,,,392.5,,,,,,,,,0.0,0.505,0.0,,3.0,,,2.0,1471000.0,2
나물비빔밥,128.5,,3.685,2.305,,23.795,3.01,,,,,,306.0,,,,,,,,,10.28,0.27,0.0,,3.0,,,2.0,1471000.0,2
나물솥밥,150.0,,5.51,5.35,,19.95,1.3,,,,,,288.0,,,,,,,,,19.81,1.24,0.03,,3.0,,,2.0,1471000.0,1
나물에솔찬해,339.5,,3.7350000000000003,6.12,,67.16,8.21,0.55,84.5,1.415,,221.0,851.0,,,,,,,,,0.0,1.12,0.0,,3.0,,,2.0,1471000.0,2
나물한그릇,39.75,,3.585,0.4425,,6.625,0.1675,,,,,,15.75,,,,,,,,,0.0,0.0075,0.05,,3.0,,,2.0,1471000.0,4
나뭇잎어묵,160.0,,10.0,3.2,,22.0,4.0,,,,,,660.0,,,,,,,,,15.0,0.5,0.0,,3.0,,,2.0,1471000.0,1
나박김치,22.0,,1.465,0.01,,4.5,3.295,,,,,,325.0,,,,,,,,,0.0,0.005,0.0,,3.0,,,2.0,1471000.0,2
나박물김치,10.5,,0.7,0.15000000000000002,,1.6,0.5,,,,,,428.5,,,,,,,,,0.0,0.05,0.0,,3.0,,,2.0,1471000.0,2
나비골추어탕,50.0,,2.8,2.8,,3.2,0.8,,,,,,344.0,,,,,,,,,8.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
나시고랭밥,135.66666666666666,,4.306666666666667,4.013333333333334,,20.69333333333333,1.4800000000000002,,,,,,200.0,,,,,,,,,63.81333333333333,2.0533333333333332,0.0,,3.0,,,2.0,1471000.0,3
나시고랭베이스밥,193.0,,4.77,4.03,,34.33,2.0,,,,,,337.0,,,,,,,,,0.0,0.77,0.03,,3.0,,,2.0,1471000.0,1
나시고랭볶음밥,183.0,,5.451428571428571,6.134285714285714,,26.265714285714285,2.8299999999999996,2.3,,,,,346.2857142857143,,,,,,,,,30.147142857142857,1.1585714285714286,0.09857142857142857,,3.0,,,2.0,1471000.0,7
나시고랭볶음밥과,129.0,,4.09,3.18,,20.45,2.27,,,,,,219.0,,,,,,,,,74.55,0.45,0.0,,3.0,,,2.0,1471000.0,1
나시고랭새우볶음밥,174.0,,8.1,2.86,,29.05,0.0,,,,,,210.0,,,,,,,,,4.76,0.38,0.0,,3.0,,,2.0,1471000.0,1
나시고랭파스타,75.0,,2.5,3.0,,10.0,2.5,,,,,,400.0,,,,,,,,,16.67,0.0,0.0,,3.0,,,2.0,1471000.0,1
나주곰탕,49.2,,3.504,1.324,,5.7700000000000005,0.34199999999999997,,,,,,303.2,,,,,,,,,11.748000000000001,0.5780000000000001,0.068,,3.0,,,2.0,1471000.0,5
나주식곰탕,27.5,,4.13,0.96,,0.625,0.53,,,,,,249.0,,,,,,,,,14.825,0.33999999999999997,0.0,,3.0,,,2.0,1471000.0,2
나주식국밥,131.0,,4.71,1.79,,23.93,0.5,,,,,,508.0,,,,,,,,,9.68,0.43,0.04,,3.0,,,2.0,1471000.0,2
나폴리탄스파게티,150.0,,4.8100000000000005,5.375,,20.65,3.675,,,,,,363.5,,,,,,,,,9.335,1.22,0.0,,3.0,,,2.0,1471000.0,2
나폴리탄파스타,149.0,,4.640000000000001,5.45,,20.273333333333333,4.136666666666667,,,,,,456.3333333333333,,,,,,,,,3.89,1.3766666666666667,0.013333333333333334,,3.0,,,2.0,1471000.0,3
나혼자밀푀유샤브전골,93.0,,5.14,2.03,,13.92,4.05,,,,,,521.0,,,,,,,,,6.22,0.68,0.14,,3.0,,,2.0,1471000.0,1
낙지곤약볶음밥,171.0,,5.71,5.24,,24.76,2.38,,,,,,424.0,,,,,,,,,64.29,1.0,0.0,,3.0,,,2.0,1471000.0,1
낙지곱창전골,77.0,,5.18,3.28,,6.69,1.01,,,,,,561.0,,,,,,,,,47.35,2.65,0.0,,3.0,,,2.0,1471000.0,1
낙지김치죽,65.85714285714286,,3.1285714285714286,1.3914285714285715,,10.428571428571429,0.6242857142857143,,,,,,334.42857142857144,,,,,,,,,12.29142857142857,0.3885714285714285,0.0014285714285714286,,3.0,,,2.0,1471000.0,7
낙지덮밥,187.0,,3.67,6.0,,29.66,3.0,,,,,,393.0,,,,,,,,,23.33,0.4,0.0,,3.0,,,2.0,1471000.0,1
낙지무침,126.0,,10.3,1.03,,23.86,13.01,,,,,,625.0,,,,,,,,,62.05,0.19,0.0,,3.0,,,2.0,1471000.0,1
낙지볶음,117.9090909090909,,8.354545454545455,2.402727272727273,,15.747272727272728,3.994545454545454,,,,,,511.6363636363636,,,,,,,,,54.403636363636366,0.36727272727272725,0.0,,3.0,,,2.0,1471000.0,11
낙지볶음밥,154.0,,4.011,3.3229999999999995,,27.067,3.175,,,,,,487.6,,,,,,,,,18.438,0.346,0.0,,3.0,,,2.0,1471000.0,10
낙지볶음밥과,165.0,,5.42,3.73,,27.8,1.69,,,,,,338.0,,,,,,,,,13.22,0.68,0.0,,3.0,,,2.0,1471000.0,1
낙지새우전,82.0,,4.05,0.27,,15.88,1.14,,,,,,489.0,,,,,,,,,23.25,0.15,0.0,,3.0,,,2.0,1471000.0,1
낙지연포탕,11.5,,1.77,0.16,,0.9199999999999999,0.0,,,,,,50.0,,,,,,,,,1.76,0.015,0.0,,3.0,,,2.0,1471000.0,2
낙지잎새만두,276.0,,13.0,12.0,,29.0,4.0,,,,,,512.0,,,,,,,,,96.0,1.2,0.0,,3.0,,,2.0,1471000.0,1
낙지전골,51.0,87.0,6.5,1.14,1.64,3.72,0.0,1.5,10.0,0.65,68.0,165.0,484.0,4.0,0.0,52.0,0.0,0.067,9.303,0.85,0.0,51.44,0.33,0.02,,3.0,,,1.0,1471000.0,1
낙지주꾸미볶음밥,165.0,,3.52,3.6,,29.6,2.4,,,,,,300.0,,,,,,,,,10.0,0.84,0.0,,3.0,,,2.0,1471000.0,1
낙지철판볶음밥,180.33333333333334,,4.996666666666667,3.8966666666666665,,31.12,2.853333333333333,,,,,,333.0,,,,,,,,,28.233333333333334,0.6633333333333334,0.0,,3.0,,,2.0,1471000.0,3
난바우동,143.0,,5.57,1.02,,28.2,1.97,,,,,,599.0,,,,,,,,,2.3,0.16,0.0,,3.0,,,2.0,1471000.0,1
날치알게살볶음밥,124.0,,3.56,1.19,,26.5,0.0,,,,,,163.0,,,,,,,,,0.0,0.19,0.0,,3.0,,,2.0,1471000.0,1
날치알김치볶음김밥,144.0,,3.1,5.33,,20.99,2.2,,,,,,693.0,,,,,,,,,6.11,1.18,0.03,,3.0,,,2.0,1471000.0,1
날치알볶음밥,175.0,,4.45,1.5,,33.34,0.56,,,,,,283.0,,,,,,,,,2.78,0.0,0.0,,3.0,,,2.0,1471000.0,1
날치알크림파스타,97.0,,3.0,7.0,,6.0,2.0,,,,,,221.0,,,,,,,,,11.0,2.7,0.0,,3.0,,,2.0,1471000.0,1
남가네시래기된장국,28.0,,1.51,1.6,,1.78,1.51,,,,,,294.0,,,,,,,,,0.0,0.2,0.0,,3.0,,,2.0,1471000.0,1
남가네황태해장국,40.0,,2.5,1.6,,3.8,0.0,,,,,,171.0,,,,,,,,,2.1,0.2,0.0,,3.0,,,2.0,1471000.0,1
남경만두,140.0,,7.0,5.0,,17.0,2.0,,,,,,237.0,,,,,,,,,14.0,1.3,0.0,,3.0,,,2.0,1471000.0,1
남도떡갈비,285.0,,15.0,20.0,,11.0,4.4,,,,,,510.0,,,,,,,,,54.4,4.4,0.0,,3.0,,,2.0,1471000.0,1
남도떡갈비김밥,173.0,,5.76,5.35,,25.51,1.23,,,,,,335.0,,,,,,,,,16.05,1.77,0.0,,3.0,,,2.0,1471000.0,1
남도떡갈비밥바,229.0,,7.91,9.6,,27.68,2.26,,,,,,371.0,,,,,,,,,18.64,3.39,0.0,,3.0,,,2.0,1471000.0,1
남도떡갈비정식,175.0,,7.84,5.39,,23.77,2.45,,,,,,335.0,,,,,,,,,10.78,1.96,0.05,,3.0,,,2.0,1471000.0,1
남도식그시절추어탕,50.0,,2.8,2.8,,3.2,0.8,,,,,,344.0,,,,,,,,,8.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
남도식떡갈비,125.0,,13.33,4.67,,8.33,3.33,,,,,,150.0,,,,,,,,,16.67,1.83,0.0,,3.0,,,2.0,1471000.0,1
남도식떡갈비도시락,171.0,,5.5,6.28,,23.3,2.88,,,,,,296.0,,,,,,,,,24.61,1.57,0.0,,3.0,,,2.0,1471000.0,1
남도식떡갈비버거,302.0,,6.79,20.99,,21.6,5.56,,,,,,496.0,,,,,,,,,20.99,4.32,0.0,,3.0,,,2.0,1471000.0,2
남도식떡갈비삼각,195.0,,4.55,4.55,,33.64,2.73,,,,,,473.0,,,,,,,,,9.09,0.64,0.32,,3.0,,,2.0,1471000.0,1
남도식소고기미역국,30.0,,1.4,2.0,,1.6,0.0,,,,,,370.0,,,,,,,,,0.6,0.26,0.0,,3.0,,,2.0,1471000.0,1
남도식직화떡갈비,295.0,,13.0,22.0,,11.0,9.0,,,,,,540.0,,,,,,,,,40.0,7.0,0.1,,3.0,,,2.0,1471000.0,1
남도추어탕,38.0,,2.6,2.8,,0.8,0.8,,,,,,368.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
남매된장찌개,72.0,,6.25,2.06,,7.5,1.25,,,,,,1863.0,,,,,,,,,1.88,0.38,0.0,,3.0,,,2.0,1471000.0,1
남문떡볶이,213.0,,5.0,3.0,,42.0,4.0,,,,,,576.0,,,,,,,,,3.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
남산떡볶이,151.0,,3.61,1.28,,30.75,9.35,,,,,,820.0,,,,,,,,,1.35,0.24,0.0,,3.0,,,2.0,1471000.0,1
남순남순대국,100.0,,5.97,5.32,,6.94,0.0,,,,,,166.0,,,,,,,,,12.1,0.0,0.0,,3.0,,,2.0,1471000.0,1
남양맛있는우유,62.5,,4.5,2.0,,7.25,6.75,,,,,,75.0,,,,,,,,,7.5,1.25,0.065,,3.0,,,2.0,1471000.0,2
남양맛있는우유딸기,72.0,,2.22,2.22,,11.11,10.56,,,,,,42.0,,,,,,,,,8.33,1.5,0.0,,3.0,,,2.0,1471000.0,1
남양맛있는우유쵸코,67.0,,2.67,2.11,,9.44,8.33,,,,,,50.0,,,,,,,,,8.33,1.28,0.0,,3.0,,,2.0,1471000.0,1
남원골장어탕,49.0,,3.2,2.6,,2.8,0.8,,,,,,278.0,,,,,,,,,17.6,0.52,0.0,,3.0,,,2.0,1471000.0,1
남원골추어탕,35.0,,2.4,1.4,,3.2,0.8,,,,,,255.0,,,,,,,,,8.0,0.2,0.0,,3.0,,,2.0,1471000.0,1
남원광원추어탕,25.0,,1.0,0.8,,3.0,0.0,,,,,,310.0,,,,,,,,,10.0,0.9,0.0,,3.0,,,2.0,1471000.0,1
남원식추어탕,22.0,,1.775,0.98,,1.3800000000000001,0.06999999999999999,,,,,,207.0,,,,,,,,,9.38,0.135,0.030000000000000002,,3.0,,,2.0,1471000.0,2
남원엔미꾸리추어탕,37.0,,3.0,2.0,,2.0,0.0,,,,,,242.0,,,,,,,,,0.0,1.0,0.0,,3.0,,,2.0,1471000.0,1
남원우렁추어탕,39.0,,3.08,1.83,,2.44,0.19,,,,,,167.0,,,,,,,,,14.7,0.22,0.0,,3.0,,,2.0,1471000.0,1
남원진추어탕,45.0,,3.0,2.1,,3.0,0.0,,,,,,289.0,,,,,,,,,10.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
남원추어탕,46.75,,3.415,2.37,,3.005,0.39,,,,,,379.5,,,,,,,,,13.875,0.33999999999999997,0.0075,,3.0,,,2.0,1471000.0,4
남원현식당열무추어탕,33.0,,3.0,1.1,,3.0,0.0,,,,,,318.0,,,,,,,,,8.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
남포동프리미엄어묵,200.0,,11.0,4.1,,31.0,1.0,2.0,156.0,2.0,,69.0,672.0,0.0,,,,,,0.0,0.0,19.0,0.7,0.0,,3.0,,,2.0,1471000.0,1
납작군만두,217.0,,5.5,11.0,,24.25,2.5,,,,,,345.0,,,,,,,,,14.5,3.75,0.025,,3.0,,,2.0,1471000.0,2
납작당면쌀떡볶이,197.0,,2.37,0.26,,46.05,5.53,,,,,,446.0,,,,,,,,,0.0,0.26,0.0,,3.0,,,2.0,1471000.0,1
납작만두,167.75,,4.4625,1.3925,,33.6125,0.3375,,,,,,188.0,,,,,,,,,0.615,0.4375,0.005,,3.0,,,2.0,1471000.0,4
납작만두찜닭,128.0,,5.45,3.36,,18.97,6.67,,,,,,379.0,,,,,,,,,23.67,1.08,0.03,,3.0,,,2.0,1471000.0,1
납작지짐만두,195.0,,6.0,9.0,,23.0,3.0,2.0,20.0,0.5,,,340.0,0.0,,,,,,0.0,,10.0,3.2,0.0,,3.0,,,2.0,1471000.0,1
납작지짐이군만두,215.0,,5.0,3.7,,40.0,2.0,,,,,,310.0,,,,,,,,,2.3,1.3,0.0,,3.0,,,2.0,1471000.0,1
낭만반점유니짜장밥,118.0,,4.68,3.62,,17.45,9.79,,,,,,247.0,,,,,,,,,7.45,0.53,0.0,,3.0,,,2.0,1471000.0,1
낭만분식치킨커리,178.0,,6.22,4.0,,29.56,3.11,,,,,,309.0,,,,,,,,,48.89,1.56,0.0,,3.0,,,2.0,1471000.0,1
낭만순대국,99.0,,8.21,5.25,,4.67,0.18,,,,,,306.0,,,,,,,,,30.91,1.66,0.03,,3.0,,,2.0,1471000.0,1
낮추당모양어묵,155.0,,11.0,2.8,,21.5,3.0,,,,,,503.0,,,,,,,,,39.8,0.6,0.0,,3.0,,,2.0,1471000.0,1
내딸하영이떡볶이,134.0,,3.3,1.14,,27.61,5.91,,,,,,248.0,,,,,,,,,4.77,0.2,0.0,,3.0,,,2.0,1471000.0,1
내슈빌핫치킨버거,270.1666666666667,,7.138333333333333,16.063333333333333,,24.223333333333333,5.458333333333333,,,,,,470.0,,,,,,,,,23.14,4.583333333333333,0.0,,3.0,,,2.0,1471000.0,6
내장국밥,58.0,,5.9,3.42,,0.96,0.67,,,,,,377.0,,,,,,,,,49.91,1.27,0.0,,3.0,,,2.0,1471000.0,1
내장탕,53.6,87.2,3.7520000000000002,2.532,0.78,3.428,0.27,1.9,10.0,1.05,51.0,78.0,275.6,27.0,1.0,314.0,0.088,0.073,0.0,7.66,0.0,26.794,0.99,0.022,,3.0,,,1.8,1471000.0,5
내추럴플랜딸기우유,78.0,,3.0,2.5,,12.5,10.0,,,,,,115.0,,,,,,,,,10.0,1.55,0.0,,3.0,,,2.0,1471000.0,1
내추럴플랜바나나우유,90.0,,3.0,3.5,,12.0,9.0,,,,,,48.0,,,,,,,,,10.0,1.95,0.15,,3.0,,,2.0,1471000.0,1
내추럴플랜초코우유,90.0,,3.0,3.0,,13.0,8.5,,,,,,43.0,,,,,,,,,10.0,1.8,0.0,,3.0,,,2.0,1471000.0,1
내츄럴치즈소시지,175.0,,9.5,10.5,,10.5,3.5,,,,,,390.0,,,,,,,,,32.5,3.5,0.0,,3.0,,,2.0,1471000.0,1
냉골뱅이물회와국수,75.0,,4.28,0.42,,13.6,5.71,,,,,,561.0,,,,,,,,,7.81,0.08,0.0,,3.0,,,2.0,1471000.0,1
냉국,21.5,94.25,0.28,0.41000000000000003,0.9099999999999999,4.18,2.59,0.55,18.5,0.395,31.0,73.0,237.5,1.5,0.0,19.0,0.0485,0.0045000000000000005,0.03,0.105,0.0,0.0,0.01,0.0,,3.0,,,1.0,1471000.0,2
냉동민물장어구이,242.0,,20.5,14.0,,8.4,5.5,,,,,,470.0,,,,,,,,,123.4,3.7,0.0,,3.0,,,2.0,1471000.0,1
냉동바다장어구이,202.0,,17.7,8.9,,12.8,8.5,,,,,,621.0,,,,,,,,,114.1,2.9,0.1,,3.0,,,2.0,1471000.0,1
냉동밥,167.5,,2.795,0.6699999999999999,,38.425,0.55,,,,,,47.0,,,,,,,,,0.0,0.105,0.0,,3.0,,,2.0,1471000.0,2
냉동볶음밥,170.0,,3.5,3.2,,31.9,0.4,,,,,,131.0,,,,,,,,,1.4,0.6,0.0,,3.0,,,2.0,1471000.0,1
냉동새우원죽,143.0,,5.51,2.64,,23.65,0.87,,,,,,182.0,,,,,,,,,6.16,0.52,0.02,,3.0,,,2.0,1471000.0,1
냉동소고기원죽,155.0,,4.25,3.54,,25.44,0.94,,,,,,179.0,,,,,,,,,5.44,0.84,0.05,,3.0,,,2.0,1471000.0,1
냉동야채원죽,151.0,,2.42,3.01,,28.31,1.04,,,,,,194.0,,,,,,,,,0.0,0.56,0.03,,3.0,,,2.0,1471000.0,1
냉동유부초밥,197.0,,4.72,2.38,,39.09,8.5,,,,,,523.0,,,,,,,,,0.0,0.33,0.0,,3.0,,,2.0,1471000.0,1
냉동잡채만두,159.0,,3.7,0.7,,34.6,1.4,,,,,,158.0,,,,,,,,,0.5,0.1,0.0,,3.0,,,2.0,1471000.0,1
냉동전복원죽,161.0,,3.33,3.1,,29.1,1.07,,,,,,199.0,,,,,,,,,0.0,0.58,0.03,,3.0,,,2.0,1471000.0,1
냉동통새우완탕,180.0,,12.0,3.55,,25.0,0.0,,,,,,675.0,,,,,,,,,35.0,0.48,0.0,,3.0,764.0,,2.0,1471000.0,1
냉면김치,12.0,,0.5,0.1,,2.9,0.0,0.8,24.0,0.4,0.0,145.0,1119.0,0.0,,,0.01,0.2,7.0,0.0,0.0,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
냉면무김치,14.0,,0.3,0.2,,2.6,1.6,,,,,,488.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
냉이국,14.0,,0.92,0.19,,2.15,0.46,,,,,,289.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
냉이달래된장국,23.0,,2.0,0.68,,2.66,0.34,,,,,,205.0,,,,,,,,,0.0,0.08,0.0,,3.0,,,2.0,1471000.0,1
냉이된장국,18.0,,1.71,0.57,,1.775,0.88,,,,,,220.5,,,,,,,,,0.0,0.115,0.0,,3.0,,,2.0,1471000.0,2
냉이된장찌개,5.0,,0.33,0.05,,0.75,0.37,,,,,,105.0,,,,,,,,,0.0,0.02,0.0,,3.0,,,2.0,1471000.0,1
냉이무침,111.0,,5.02,3.07,,15.7,10.45,,,,,,718.0,,,,,,,,,0.0,0.48,0.03,,3.0,,,2.0,1471000.0,1
냉이봉골레오일파스타,219.0,,5.9,14.33,,24.45,0.84,,,,,,229.0,,,,,,,,,34.91,0.0,2.19,,3.0,,,2.0,1471000.0,1
냉파스타샐러드,96.0,,2.35,1.82,,17.65,1.76,,,,,,298.0,,,,,,,,,0.0,0.18,0.0,,3.0,,,2.0,1471000.0,1
너비아니김밥,149.0,,6.24,2.54,,25.35,2.41,,,,,,401.0,,,,,,,,,10.59,0.97,0.03,,3.0,,,2.0,1471000.0,1
너비아니꼬마김밥,112.0,,1.94,5.16,,14.84,1.29,,,,,,264.0,,,,,,,,,3.87,0.45,0.0,,3.0,,,2.0,1471000.0,1
너비아니야채조림,233.0,,12.0,12.0,,19.0,7.0,,,,,,570.0,,,,,,,,,24.0,3.7,0.0,,3.0,,,2.0,1471000.0,1
너비아니에그샐러드,157.0,,6.0,9.0,,13.0,3.33,,,,,,310.0,,,,,,,,,74.99,2.33,0.0,,3.0,,,2.0,1471000.0,1
넌감돈이었어샌드위치,238.0,,6.01,13.11,,24.04,3.83,,,,,,335.0,,,,,,,,,16.39,2.62,0.0,,3.0,,,2.0,1471000.0,1
넘버원김밥,147.0,,4.08,5.31,,20.82,1.63,,,,,,584.0,,,,,,,,,15.51,0.45,0.0,,3.0,,,2.0,1471000.0,1
넘버원돼지김치찜,172.0,,5.02,8.98,,17.67,2.73,,,,,,313.0,,,,,,,,,25.49,1.45,0.02,,3.0,,,2.0,1471000.0,3
넘버원리얼비프버거,264.0,,10.56,13.61,,24.75,6.05,,,,,,531.0,,,,,,,,,22.61,4.71,0.28,,3.0,,,2.0,1471000.0,1
넘버원크림파스타,145.0,,5.760000000000001,6.84,,15.21,1.45,,,,,,353.0,,,,,,,,,20.69,3.93,0.10000000000000002,,3.0,,,2.0,1471000.0,3
넘버원토마토파스타,135.0,,6.77,3.5400000000000005,,19.05,3.85,,,,,,294.0,,,,,,,,,13.07,1.46,0.02,,3.0,,,2.0,1471000.0,3
넛츠핫케이크믹스,385.0,,10.0,7.0,,73.0,19.0,5.4,43.0,0.7,,,680.0,,,,,,,,,0.0,3.3,0.0,,3.0,,,2.0,1471000.0,2
