음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
가을나물비빔밥재료,156.0,,7.19,5.82,,18.49,6.85,,,,,,1127.0,,,,,,,,,5.14,1.2,0.0,,3.0,,,2.0,1471000.0,1
가을옥수수샌드위치,242.0,,4.21,10.53,,32.63,8.95,,,,,,414.0,,,,,,,,,10.0,7.37,0.26,,3.0,,,2.0,1471000.0,1
가을잼샌드위치,271.0,,4.88,10.57,,39.02,14.63,,,,,,371.0,,,,,,,,,21.95,6.5,0.49,,3.0,,,2.0,1471000.0,1
가자미구이,125.0,,19.0,5.0,,1.0,0.0,,,,,,320.0,,,,,,,,,85.0,0.8,0.0,,3.0,,,2.0,1471000.0,1
가자미구이무스,61.0,,6.67,1.67,,4.44,1.11,,,,,,333.0,,,,,,,,,33.33,1.0,0.33,,3.0,,,2.0,1471000.0,1
가자미미역국,70.33333333333333,,3.8800000000000003,3.8066666666666666,,5.19,0.03,,,,,,453.6666666666667,,,,,,,,,3.6633333333333327,0.3,0.0,,3.0,,,2.0,1471000.0,3
가자미살감자치즈덮밥,125.0,,4.38,2.63,,21.25,0.0,,,,,,106.0,,,,,,,,,12.5,0.81,0.0,,3.0,,,2.0,1471000.0,1
가자미살들깨덮밥,113.0,,3.13,2.69,,18.75,0.63,,,,,,225.0,,,,,,,,,3.13,0.44,0.0,,3.0,,,2.0,1471000.0,1
가자미살미역국,43.0,,4.2,2.3,,3.8,2.0,,,,,,350.0,,,,,,,,,25.0,0.5,0.0,,3.0,,,2.0,1471000.0,1
가자미살사과영양밥,113.0,,3.75,2.63,,18.75,1.25,,,,,,163.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가자미살조림덮밥,156.0,,3.13,2.56,,26.25,0.47,,,,,,94.0,,,,,,,,,3.13,0.38,0.0,,3.0,,,2.0,1471000.0,1
가자미야채구이,64.0,,11.45,1.82,,0.55,0.18,,,,,,253.0,,,,,,,,,21.64,0.18,0.0,,3.0,,,2.0,1471000.0,1
가자미한마리미역국,30.0,,3.58,0.95,,1.89,0.07,,,,,,322.0,,,,,,,,,10.07,0.16,0.0,,3.0,,,2.0,1471000.0,1
가정식백반제육밥상,186.0,,7.25,6.04,,25.6,1.69,,,,,,263.0,,,,,,,,,22.95,1.93,0.0,,3.0,,,2.0,1471000.0,1
가지국산곡물로만든,194.4,,4.64,5.279999999999999,,29.359999999999996,3.44,5.4399999999999995,,,,,313.6,,,,,,,,,6.8,0.792,0.0,,3.0,,,2.0,1471000.0,5
가지나물,61.666666666666664,,2.0833333333333335,2.8033333333333332,,9.99,3.01,,,,,,167.0,,,,,,,,,0.0,0.04666666666666667,0.0,,3.0,,,2.0,1471000.0,3
가지나물밥,126.2,,7.12,2.9219999999999997,,17.064,1.272,,,,,,303.8,,,,,,,,,13.895999999999997,0.53,0.0,,3.0,,,2.0,1471000.0,5
가지닭살볶음,153.0,,3.23,3.6,,26.88,2.92,,,,,,142.0,,,,,,,,,2.61,0.48,0.03,,3.0,,,2.0,1471000.0,1
가지돼지고기볶음,161.0,,8.25,6.02,,18.43,2.88,,,,,,398.0,,,,,,,,,18.81,1.71,0.07,,3.0,,,2.0,1471000.0,1
가지된장구이,120.0,,3.0,9.0,,7.0,2.0,,,,,,200.0,,,,,,,,,15.0,1.5,0.0,,3.0,,,2.0,1471000.0,1
가지말랭이볶음,100.0,,2.1,5.49,,10.48,1.08,,,,,,544.0,,,,,,,,,1.86,0.62,0.0,,3.0,,,2.0,1471000.0,1
가지맛굿모닝샌드위치,229.0,,4.9,11.84,,26.12,7.76,,,,,,343.0,,,,,,,,,34.69,2.45,0.0,,3.0,,,2.0,1471000.0,1
가지무침,35.0,,0.9,2.17,,3.36,1.55,,,,,,207.0,,,,,,,,,0.01,0.33,0.0,,3.0,,,2.0,1471000.0,1
가지미트스파게티,124.0,,4.0,2.8,,20.0,3.0,,,,,,464.0,,,,,,,,,0.0,0.1,0.0,,3.0,,,2.0,1471000.0,1
가지버섯돈육덮밥,167.0,,5.0,5.0,,25.91,2.73,,,,,,406.0,,,,,,,,,15.45,0.91,0.0,,3.0,,,2.0,1471000.0,1
가지버섯샐러드,56.0,,1.8,0.8,,10.4,5.1,,,,,,205.0,,,,,,,,,0.0,0.2,0.0,,3.0,,,2.0,1471000.0,1
가지볶음,95.0,,6.0,4.61,,7.0,2.0,,,,,,162.0,,,,,,,,,16.0,1.31,0.0,,3.0,,,2.0,1471000.0,1
가지치즈샐러드,131.0,,4.59,7.42,,11.39,1.11,,,,,,233.0,,,,,,,,,8.42,3.53,0.0,,3.0,,,2.0,1471000.0,1
가지한우볶음,75.0,,6.0,4.2,,3.0,2.0,,,,,,20.0,,,,,,,,,15.0,1.2,0.0,,3.0,,,2.0,1471000.0,1
가창옛날찐빵,304.5,,9.17,12.3,,39.33,3.23,,,,,,485.0,,,,,,,,,15.43,4.2,0.07,,3.0,,,2.0,1471000.0,2
가치차린우리밀군만두,200.0,,6.0,8.0,,26.0,3.0,,,,,,290.0,,,,,,,,,10.0,2.1,0.0,,3.0,,,2.0,1471000.0,1
가치차린우리밀물만두,195.0,,8.3,8.0,,22.4,2.9,,,,,,284.0,,,,,,,,,17.6,2.6,0.0,,3.0,,,2.0,1471000.0,1
가평잣죽,68.0,,2.2,2.6,,9.0,0.0,,,,,,158.0,,,,,,,,,0.0,0.24,0.0,,3.0,,,2.0,1471000.0,1
가평장어추어탕,26.0,,2.14,0.95,,2.38,0.48,,,,,,350.0,,,,,,,,,9.29,0.17,0.0,,3.0,,,2.0,1471000.0,1
각봉어묵,167.0,,13.1,5.84,,15.5,0.0,,,,,,666.0,,,,,,,,,32.57,0.66,0.06,,3.0,,,2.0,1471000.0,1
각어묵,145.0,,11.0,2.0,,20.0,3.0,,,,,,610.0,,,,,,,,,15.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
간식소시지,146.0,,10.71,5.0,,14.29,3.57,,,,,,679.0,,,,,,,,,35.71,0.0,0.0,,3.0,,,2.0,1471000.0,1
간장계란곤약볶음밥,171.0,,7.14,5.24,,24.29,0.48,,,,,,276.0,,,,,,,,,40.48,1.38,0.0,,3.0,,,2.0,1471000.0,1
간장계란밥,151.0,,8.04,3.655,,22.494999999999997,3.01,,,,,,361.0,,,,,,,,,64.66,0.8049999999999999,0.0,,3.0,,,2.0,1471000.0,2
